question,answer
"Is pinning a person against a wall or other surface an example of physical restraint?","Yes"
"Is using a physical escort or 'transport hold' to move a person against their will an example of physical restraint?","Yes"
"Is applying a 'basket hold' or 'bear hug' restraint technique an example of physical restraint?","Yes"
"Is using a 'full nelson' or 'half nelson' hold on a person an example of physical restraint?","Yes"
"Is applying a chokehold or carotid restraint technique an example of physical restraint?","Yes"
"Is restraining a person in a painful or uncomfortable position an example of physical restraint?","Yes"
question,answer
"Is using a 'hogtie' method to restrain a person's limbs an example of physical restraint?","Yes"
"Is forcefully holding a person's head or neck to prevent movement an example of physical restraint?","Yes"
"Is isolating a person in a seclusion room as a form of punishment an example of seclusion?","Yes"
"Is confining a person with a mental health disorder to a locked room for extended periods an example of seclusion?","Yes"
"Is locking a person in an isolation room without access to basic amenities an example of seclusion?","Yes"
"Is forcing a person to stay in an empty room with no stimuli or interaction an example of seclusion?","Yes"
"Is requiring a person to remain in a confined space without any means of communication an example of seclusion?","Yes"
"Is forcing a person to stay in a 'time-out' room as a form of control an example of seclusion?","Yes"
"Is confining a person with a disability in a separate space to avoid addressing their needs an example of seclusion?","Yes"
"Is restricting a person's access to social interactions as punishment an example of seclusion?","Yes"
"Is denying a person the opportunity to leave their room or living space an example of seclusion?","Yes"
"Is isolating a person in a confined space without access to natural light or fresh air an example of seclusion?","Yes"
"Is administering insulin to a patient with diabetes as prescribed an example of chemical restraint?","No"
"Is providing prescribed medication for a patient with a mental health disorder with their consent an example of chemical restraint?","No"
"Is giving an individual an over-the-counter painkiller for a headache with their permission an example of chemical restraint?","No"
"Is implementing safety measures such as locked doors for patients with Alzheimer's disease an example of environmental restraint?","No"
"Is providing a sensory room for individuals with autism to self-regulate an example of environmental restraint?","No"
"Is encouraging a person to engage in calming activities in a designated quiet space an example of environmental restraint?","No"
"Is using a wheelchair to assist a person with mobility issues an example of mechanical restraint?","No"
"Is implementing a padded helmet for a person with epilepsy to prevent head injury an example of mechanical restraint?","No"
"Is providing orthotics to a person with physical disabilities to aid in mobility an example of mechanical restraint?","No"
"Is helping a person stand or walk using minimal assistance an example of physical restraint?","No"
"Is supporting a person with limited mobility to transfer from a bed to a wheelchair an example of physical restraint?","No"
"Is gently guiding a disoriented person back to a safe area an example of physical restraint?","No"
"Is offering a person the option to take a break in a designated quiet space an example of seclusion?","No"
"Is allowing a person with sensory sensitivities to retreat to a low-stimulus environment an example of seclusion?","No"
"Is respecting a person's request for privacy and alone time an example of seclusion?","No"
